Event.Date,Injury.Severity,Aircraft.damage,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Total.Fatal.Serious,Total.People,Critical.Injury.Rate,Plane.Destroyed,Aircraft.Type
2022-06-03,Fatal,Substantial,Cessna,208B,1.0,,Skydiving,1.0,0.0,1.0,0.0,VMC,1.0,2.0,0.5,False,Cessna 208B
2022-06-03,Non-Fatal,Substantial,Taylorcraft,BC12-D1,1.0,,Instructional,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,Taylorcraft BC12-D1
2022-06-04,Non-Fatal,Substantial,Beech,A36,1.0,,Personal,0.0,0.0,0.0,2.0,IMC,0.0,2.0,0.0,False,Beech A36
2022-06-04,Non-Fatal,Substantial,Piper,PA-32-300,1.0,,Personal,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,Piper PA-32-300
2022-06-05,Non-Fatal,Substantial,Beech,35,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,0.0,3.0,0.0,False,Beech 35
2022-06-06,Fatal,Destroyed,Cessna,182G,1.0,,Personal,2.0,0.0,0.0,0.0,VMC,2.0,2.0,1.0,True,Cessna 182G
2022-06-06,Fatal,Substantial,Piper,PA-28RT-201,1.0,,Personal,2.0,0.0,1.0,0.0,VMC,2.0,3.0,0.6666666666666666,False,Piper PA-28RT-201
2022-06-06,Minor,Substantial,Cessna,172,1.0,Reciprocating,Instructional,0.0,2.0,0.0,0.0,VMC,2.0,2.0,1.0,False,Cessna 172
2022-06-06,Non-Fatal,Substantial,Cirrus,SR22,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,Cirrus SR22
2022-06-06,Minor,Substantial,Cessna,170,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,2.0,2.0,1.0,False,Cessna 170
2022-06-07,Non-Fatal,Minor,Bombardier,BD100 1A10,2.0,Turbo Shaft,Business,0.0,0.0,0.0,11.0,VMC,0.0,11.0,0.0,False,Bombardier BD100 1A10
2022-06-08,Non-Fatal,,Boeing,757-236,2.0,,,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,False,Boeing 757-236
2022-06-08,Non-Fatal,Substantial,Cessna,U206F,1.0,,Aerial Observation,0.0,0.0,0.0,5.0,VMC,0.0,5.0,0.0,False,Cessna U206F
2022-06-09,Non-Fatal,Substantial,Cessna,A185F,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,Cessna A185F
2022-06-09,Non-Fatal,Substantial,Cessna,337G,2.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,Cessna 337G
2022-06-09,Non-Fatal,Substantial,Cessna,182R,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,0.0,2.0,0.0,False,Cessna 182R
