Event.Date,Injury.Severity,Aircraft.damage,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Total.Fatal.Serious,Total.People,Critical.Injury.Rate,Plane.Destroyed,Aircraft.Type
1979-09-17,Non-Fatal,Substantial,Douglas,DC9,2.0,Turbo Fan,,,,1.0,44.0,VMC,0.0,45.0,0.0,False,Douglas DC9
1982-02-07,Non-Fatal,Substantial,Bellanca,7KCAB,1.0,Reciprocating,Personal,,,,2.0,VMC,0.0,2.0,0.0,False,Bellanca 7KCAB
1982-02-19,Incident,,Boeing,B-727-200,3.0,Turbo Jet,,,,,83.0,IMC,0.0,83.0,0.0,False,Boeing B-727-200
1982-04-09,Non-Fatal,Substantial,Piper,PA-23-170,2.0,Reciprocating,Instructional,,,,2.0,VMC,0.0,2.0,0.0,False,Piper PA-23-170
1982-05-12,Incident,,Learjet,24B,2.0,Turbo Jet,Business,,,,3.0,VMC,0.0,3.0,0.0,False,Learjet 24B
1982-07-05,Incident,Minor,Boeing,727-233,3.0,Turbo Fan,,,,,74.0,VMC,0.0,74.0,0.0,False,Boeing 727-233
1982-07-16,Non-Fatal,Destroyed,Cessna,172P,1.0,Reciprocating,Personal,,1.0,3.0,,VMC,1.0,4.0,0.25,True,Cessna 172P
1982-07-25,Fatal(4),Destroyed,Cessna,182A,1.0,Reciprocating,Skydiving,4.0,1.0,,,VMC,5.0,5.0,1.0,True,Cessna 182A
1982-09-21,Incident,Minor,Cessna,C-207,1.0,Reciprocating,Unknown,,,,5.0,VMC,0.0,5.0,0.0,False,Cessna C-207
1982-10-17,Fatal(14),Destroyed,Beech,C-45H,2.0,Reciprocating,Skydiving,14.0,,,,VMC,14.0,14.0,1.0,True,Beech C-45H
1982-10-26,Fatal(1),Destroyed,Cessna,172G,1.0,Reciprocating,Business,1.0,,1.0,,VMC,1.0,2.0,0.5,True,Cessna 172G
1982-12-09,Fatal(2),Destroyed,Piper,PA-31-350,2.0,Reciprocating,Ferry,2.0,,,,VMC,2.0,2.0,1.0,True,Piper PA-31-350
1982-12-14,Non-Fatal,Substantial,Piper,PA-28-180,1.0,Reciprocating,Instructional,,,,2.0,VMC,0.0,2.0,0.0,False,Piper PA-28-180
1983-03-18,Incident,Minor,Boeing,747,4.0,Turbo Fan,,,,,588.0,VMC,0.0,588.0,0.0,False,Boeing 747
1983-03-20,Fatal(1),Destroyed,Piper,PA-28-140,1.0,Reciprocating,Personal,1.0,1.0,,,IMC,2.0,2.0,1.0,True,Piper PA-28-140
1983-04-02,Fatal(1),,De Havilland,DHC-6,2.0,Turbo Prop,Skydiving,1.0,,,4.0,VMC,1.0,5.0,0.2,False,De Havilland DHC-6
1983-08-21,Incident,Minor,Douglas,DC-10-10,3.0,Turbo Fan,Unknown,,,,289.0,VMC,0.0,289.0,0.0,False,Douglas DC-10-10
1983-11-08,Incident,Minor,Boeing,727-200,3.0,Turbo Fan,Unknown,,,,100.0,VMC,0.0,100.0,0.0,False,Boeing 727-200
1984-06-11,Non-Fatal,Substantial,Piper,PA-23-250,2.0,Reciprocating,Personal,,,,4.0,VMC,0.0,4.0,0.0,False,Piper PA-23-250
1985-01-14,Non-Fatal,Destroyed,Cessna,182Q,1.0,Reciprocating,Personal,,1.0,1.0,,VMC,1.0,2.0,0.5,True,Cessna 182Q
1985-06-11,Fatal(1),Destroyed,Cessna,152,1.0,Reciprocating,Instructional,1.0,1.0,4.0,,VMC,2.0,6.0,0.3333333333333333,True,Cessna 152
1985-08-16,Incident,Substantial,Cessna,441,2.0,Turbo Prop,Business,,,,4.0,VMC,0.0,4.0,0.0,False,Cessna 441
1985-09-29,Fatal(17),Destroyed,Cessna,208,1.0,Turbo Prop,Skydiving,17.0,,,,VMC,17.0,17.0,1.0,True,Cessna 208
1986-04-08,Non-Fatal,Substantial,Piper,PA-23-250,2.0,Reciprocating,Personal,,,,2.0,VMC,0.0,2.0,0.0,False,Piper PA-23-250
1986-04-15,Fatal(2),Destroyed,Grumman,G164A,1.0,Reciprocating,Aerial Application,2.0,,,,VMC,2.0,2.0,1.0,True,Grumman G164A
1986-04-15,Fatal(2),Destroyed,Grumman,G164A,1.0,Reciprocating,Aerial Application,2.0,,,,VMC,2.0,2.0,1.0,True,Grumman G164A
1986-05-19,Fatal(2),Destroyed,Cessna,TU206F,1.0,Reciprocating,Skydiving,2.0,,1.0,,VMC,2.0,3.0,0.6666666666666666,True,Cessna TU206F
1986-05-19,Fatal(2),Destroyed,Cessna,152,1.0,Reciprocating,Instructional,2.0,,1.0,,VMC,2.0,3.0,0.6666666666666666,True,Cessna 152
1986-05-30,Incident,,Grumman,F-14A,2.0,Turbo Jet,Public Aircraft,,,,69.0,VMC,0.0,69.0,0.0,False,Grumman F-14A
1986-05-30,Incident,,Douglas,DC-9-31,2.0,Turbo Fan,Unknown,,,,69.0,VMC,0.0,69.0,0.0,False,Douglas DC-9-31
1987-01-15,Fatal(10),Destroyed,Mooney,M-20C,1.0,Reciprocating,Instructional,10.0,,,,VMC,10.0,10.0,1.0,True,Mooney M-20C
1987-02-14,Fatal(1),,Boeing,707-323B,4.0,Turbo Jet,Unknown,1.0,,3.0,131.0,Unknown,1.0,135.0,0.007407407407407408,False,Boeing 707-323B
1988-04-05,Non-Fatal,Substantial,Beech,B90,2.0,Turbo Prop,Unknown,,,,5.0,IMC,0.0,5.0,0.0,False,Beech B90
1988-04-16,Non-Fatal,,Boeing,757-225,2.0,Unknown,,,1.0,,192.0,Unknown,1.0,193.0,0.0051813471502590676,False,Boeing 757-225
1988-05-02,Incident,Minor,Boeing,747-123,4.0,Turbo Fan,Unknown,,,,258.0,VMC,0.0,258.0,0.0,False,Boeing 747-123
1988-12-23,Non-Fatal,,Boeing,747SP-21,4.0,Turbo Fan,Unknown,,1.0,1.0,220.0,Unknown,1.0,222.0,0.0045045045045045045,False,Boeing 747SP-21
1988-12-24,Fatal(2),Destroyed,Cessna,310R,2.0,Reciprocating,Positioning,2.0,,,,VMC,2.0,2.0,1.0,True,Cessna 310R
1989-04-27,Fatal(3),Destroyed,Maule,M-5,1.0,Reciprocating,Other Work Use,3.0,,,,IMC,3.0,3.0,1.0,True,Maule M-5
1989-06-15,Non-Fatal,Substantial,Cessna,210L,1.0,Reciprocating,Personal,,,3.0,,VMC,0.0,3.0,0.0,False,Cessna 210L
1989-07-30,Fatal(7),Destroyed,Cessna,182B,1.0,Reciprocating,Other Work Use,7.0,,,,VMC,7.0,7.0,1.0,True,Cessna 182B
1989-07-30,Fatal(7),Destroyed,Beech,A36,1.0,Reciprocating,Skydiving,7.0,,,,VMC,7.0,7.0,1.0,True,Beech A36
1989-07-30,Non-Fatal,Substantial,Piper,PA-32-300,1.0,Reciprocating,Personal,,,,4.0,VMC,0.0,4.0,0.0,False,Piper PA-32-300
1989-12-17,Fatal(1),Substantial,Cessna,182,1.0,Reciprocating,Unknown,1.0,,1.0,1.0,VMC,1.0,3.0,0.3333333333333333,False,Cessna 182
1990-01-28,Non-Fatal,Destroyed,Taylorcraft,BC12D,1.0,Unknown,Personal,,,,2.0,VMC,0.0,2.0,0.0,True,Taylorcraft BC12D
1990-01-29,Fatal(2),Destroyed,Cessna,208B,1.0,Turbo Prop,Unknown,2.0,,,,IMC,2.0,2.0,1.0,True,Cessna 208B
1990-03-16,Non-Fatal,Substantial,Cessna,170B,1.0,Reciprocating,Personal,,,,2.0,VMC,0.0,2.0,0.0,False,Cessna 170B
1990-04-09,Fatal(2),Destroyed,Cessna,172,1.0,Reciprocating,Unknown,2.0,,,7.0,VMC,2.0,9.0,0.2222222222222222,True,Cessna 172
1990-04-09,Fatal(2),Substantial,Embraer,EMB-120,2.0,Turbo Prop,Unknown,2.0,,,7.0,VMC,2.0,9.0,0.2222222222222222,False,Embraer EMB-120
1990-04-16,Non-Fatal,Substantial,Embraer,EMB-110,2.0,Turbo Prop,Unknown,,,,8.0,VMC,0.0,8.0,0.0,False,Embraer EMB-110
1990-04-17,Non-Fatal,Substantial,Cessna,150,1.0,Reciprocating,Instructional,,,,2.0,VMC,0.0,2.0,0.0,False,Cessna 150
1990-04-30,Fatal(1),Destroyed,Beech,C99 AIRLINER,2.0,Unknown,Unknown,1.0,3.0,,,Unknown,4.0,4.0,1.0,True,Beech C99 AIRLINER
1990-07-05,Fatal(1),Destroyed,Piper,PA-28-180,1.0,Reciprocating,Business,1.0,1.0,0.0,0.0,VMC,2.0,2.0,1.0,True,Piper PA-28-180
1990-07-12,Non-Fatal,Substantial,Piper,PA-28-140,1.0,Reciprocating,Personal,,,2.0,,VMC,0.0,2.0,0.0,False,Piper PA-28-140
1990-09-14,Fatal(2),Destroyed,Cessna,152,1.0,Reciprocating,Personal,2.0,,,,IMC,2.0,2.0,1.0,True,Cessna 152
1990-09-23,Fatal(4),Destroyed,Piper,PA-24-260,1.0,Reciprocating,Personal,4.0,,,,VMC,4.0,4.0,1.0,True,Piper PA-24-260
1990-11-07,Non-Fatal,Substantial,Piper,PA-23-250,2.0,Reciprocating,Personal,,,,3.0,IMC,0.0,3.0,0.0,False,Piper PA-23-250
1990-12-15,Fatal(1),Substantial,Beech,D50C,2.0,Reciprocating,Skydiving,1.0,,1.0,4.0,VMC,1.0,6.0,0.16666666666666666,False,Beech D50C
1990-12-31,Fatal(2),Substantial,Cessna,182B,1.0,Reciprocating,Skydiving,2.0,1.0,1.0,,VMC,3.0,4.0,0.75,False,Cessna 182B
1991-02-03,Fatal(7),Destroyed,Cessna,182,1.0,Reciprocating,Skydiving,7.0,,,,VMC,7.0,7.0,1.0,True,Cessna 182
1991-02-03,Fatal(7),Destroyed,Piper,PA-28-140,1.0,Reciprocating,Instructional,7.0,,,,VMC,7.0,7.0,1.0,True,Piper PA-28-140
1991-03-18,Fatal(2),Destroyed,Piper,PA-28-201T,1.0,Reciprocating,Business,2.0,,,,IMC,2.0,2.0,1.0,True,Piper PA-28-201T
1991-06-06,Incident,Minor,Boeing,727-214,3.0,Turbo Fan,Unknown,,,,156.0,VMC,0.0,156.0,0.0,False,Boeing 727-214
1991-07-11,Fatal(1),Substantial,Cessna,182,1.0,Reciprocating,Skydiving,1.0,,,4.0,VMC,1.0,5.0,0.2,False,Cessna 182
1991-08-07,Non-Fatal,Substantial,Bellanca,7GCBC,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,0.0,2.0,0.0,False,Bellanca 7GCBC
1991-10-27,Fatal(2),Destroyed,Beech,A36,1.0,Reciprocating,Personal,2.0,,,,VMC,2.0,2.0,1.0,True,Beech A36
1991-12-20,Fatal(2),Destroyed,Beech,58P,2.0,Reciprocating,Business,2.0,,,,IMC,2.0,2.0,1.0,True,Beech 58P
1992-04-22,Fatal(16),Destroyed,De Havilland,DHC-6-200,2.0,Turbo Prop,Skydiving,16.0,6.0,,,VMC,22.0,22.0,1.0,True,De Havilland DHC-6-200
1992-09-07,Fatal(12),Destroyed,Beech,C-45H,2.0,Reciprocating,Skydiving,12.0,,,,VMC,12.0,12.0,1.0,True,Beech C-45H
1993-04-23,Fatal(2),Destroyed,Piper,PA-18-150,1.0,Reciprocating,Business,2.0,,,,VMC,2.0,2.0,1.0,True,Piper PA-18-150
1993-08-14,Fatal(1),Destroyed,Cessna,182A,1.0,Reciprocating,Skydiving,1.0,4.0,,,VMC,5.0,5.0,1.0,True,Cessna 182A
1993-09-04,Fatal(1),Minor,Beech,C-45H,2.0,Reciprocating,Skydiving,1.0,,,10.0,VMC,1.0,11.0,0.09090909090909091,False,Beech C-45H
1993-09-25,Non-Fatal,Substantial,Cessna,172,1.0,Reciprocating,Aerial Observation,,,,2.0,VMC,0.0,2.0,0.0,False,Cessna 172
1993-11-13,Non-Fatal,Substantial,Piper,PA-32R-300,1.0,Reciprocating,Personal,,1.0,3.0,1.0,VMC,1.0,5.0,0.2,False,Piper PA-32R-300
1993-12-12,Non-Fatal,Substantial,Piper,PA-32,1.0,Reciprocating,Unknown,0.0,0.0,0.0,5.0,VMC,0.0,5.0,0.0,False,Piper PA-32
1994-01-02,Fatal(5),Destroyed,Cessna,172N,1.0,Reciprocating,Instructional,5.0,,,,VMC,5.0,5.0,1.0,True,Cessna 172N
1994-07-16,Fatal(4),Destroyed,Cessna,K172R,1.0,Reciprocating,Skydiving,4.0,,,,VMC,4.0,4.0,1.0,True,Cessna K172R
1994-08-31,Non-Fatal,Substantial,Cessna,208,1.0,Turbo Prop,Unknown,,,,2.0,VMC,0.0,2.0,0.0,False,Cessna 208
1994-12-27,Fatal(2),Destroyed,Piper,PA-28-140,1.0,Reciprocating,Business,2.0,,,,VMC,2.0,2.0,1.0,True,Piper PA-28-140
1995-03-11,Non-Fatal,Substantial,Piper,PA-28RT-201,1.0,Reciprocating,Personal,,,,2.0,VMC,0.0,2.0,0.0,False,Piper PA-28RT-201
1995-04-24,Non-Fatal,Substantial,Cessna,185,1.0,Reciprocating,Personal,,,,2.0,VMC,0.0,2.0,0.0,False,Cessna 185
1995-05-06,Non-Fatal,Substantial,Cessna,550,2.0,Turbo Fan,Public Aircraft,,,,3.0,VMC,0.0,3.0,0.0,False,Cessna 550
1995-05-19,Incident,Minor,Boeing,737-500,2.0,Turbo Fan,Unknown,,,,288.0,VMC,0.0,288.0,0.0,False,Boeing 737-500
1995-05-19,Incident,Minor,Boeing,767-383ER,2.0,Turbo Fan,,,,,288.0,VMC,0.0,288.0,0.0,False,Boeing 767-383ER
1995-07-23,Fatal(1),,De Havilland,DHC-6,2.0,Turbo Prop,Skydiving,1.0,,,17.0,VMC,1.0,18.0,0.05555555555555555,False,De Havilland DHC-6
1995-09-10,Fatal(12),Destroyed,Beech,65,2.0,Reciprocating,Skydiving,12.0,,,,VMC,12.0,12.0,1.0,True,Beech 65
1996-02-07,Non-Fatal,Substantial,Beech,1900D,2.0,Turbo Prop,Unknown,,,2.0,14.0,IMC,0.0,16.0,0.0,False,Beech 1900D
1996-04-14,Fatal(1),Destroyed,Cessna,P206C,1.0,Reciprocating,Skydiving,1.0,2.0,,1.0,VMC,3.0,4.0,0.75,True,Cessna P206C
1996-04-27,Fatal(1),,De Havilland,DHC-6,2.0,Turbo Prop,Skydiving,1.0,,,4.0,VMC,1.0,5.0,0.2,False,De Havilland DHC-6
1996-07-06,Fatal(2),Substantial,Douglas,MD-88,2.0,Turbo Jet,Unknown,2.0,2.0,3.0,137.0,VMC,4.0,144.0,0.027777777777777776,False,Douglas MD-88
1997-04-27,Fatal(2),Destroyed,Piper,PA-60-601P,2.0,Reciprocating,Personal,2.0,,,,IMC,2.0,2.0,1.0,True,Piper PA-60-601P
1997-05-04,Non-Fatal,,Boeing,737-201,2.0,Turbo Jet,Unknown,,1.0,,96.0,VMC,1.0,97.0,0.010309278350515464,False,Boeing 737-201
1997-05-25,Fatal(6),Destroyed,Cessna,205,1.0,Reciprocating,Skydiving,6.0,,,1.0,VMC,6.0,7.0,0.8571428571428571,True,Cessna 205
1997-06-26,Non-Fatal,Substantial,Piper,PA-18,1.0,Reciprocating,Instructional,,,2.0,,VMC,0.0,2.0,0.0,False,Piper PA-18
1997-07-12,Incident,,Douglas,DC-9-15,2.0,Turbo Jet,Unknown,,,,75.0,VMC,0.0,75.0,0.0,False,Douglas DC-9-15
1997-08-06,Fatal(228),Destroyed,Boeing,747-300,4.0,Turbo Fan,Unknown,228.0,26.0,,,IMC,254.0,254.0,1.0,True,Boeing 747-300
1997-08-18,Non-Fatal,Substantial,Piper,PA-18-150,1.0,Reciprocating,Instructional,,,,2.0,VMC,0.0,2.0,0.0,False,Piper PA-18-150
1997-09-01,Fatal(5),Destroyed,Cessna,182C,1.0,Reciprocating,Skydiving,5.0,,,,VMC,5.0,5.0,1.0,True,Cessna 182C
1997-09-06,Fatal(5),Destroyed,Cessna,182E,1.0,Reciprocating,Skydiving,5.0,1.0,,,VMC,6.0,6.0,1.0,True,Cessna 182E
1997-09-14,Fatal(2),Destroyed,Piper,PA-28-235,1.0,Reciprocating,Personal,2.0,,,,IMC,2.0,2.0,1.0,True,Piper PA-28-235
1997-10-08,Fatal(9),Destroyed,Cessna,208B,1.0,Turbo Prop,,9.0,,,,IMC,9.0,9.0,1.0,True,Cessna 208B
1997-11-07,Non-Fatal,Substantial,Piper,PA-22-150,1.0,Reciprocating,Personal,,,,2.0,VMC,0.0,2.0,0.0,False,Piper PA-22-150
1997-11-08,Fatal(1),Minor,De Havilland,DHC-6-6,2.0,Turbo Prop,Skydiving,1.0,,,17.0,VMC,1.0,18.0,0.05555555555555555,False,De Havilland DHC-6-6
1998-03-21,Fatal(6),Destroyed,Cessna,U206G,1.0,Reciprocating,Skydiving,6.0,,,,VMC,6.0,6.0,1.0,True,Cessna U206G
1998-06-10,Non-Fatal,Substantial,Piper,PA-24-180,1.0,Reciprocating,Personal,,,,3.0,VMC,0.0,3.0,0.0,False,Piper PA-24-180
1998-07-04,Fatal(1),Substantial,Cessna,182,1.0,Reciprocating,Skydiving,1.0,,,4.0,VMC,1.0,5.0,0.2,False,Cessna 182
1999-05-09,Fatal(6),Destroyed,Cessna,205,1.0,Reciprocating,Skydiving,6.0,,,,VMC,6.0,6.0,1.0,True,Cessna 205
1999-06-19,Fatal(4),Destroyed,Cessna,182A,1.0,Reciprocating,Skydiving,4.0,1.0,,,VMC,5.0,5.0,1.0,True,Cessna 182A
1999-06-30,Non-Fatal,Substantial,Cessna,182Q,1.0,Reciprocating,Instructional,,,,3.0,VMC,0.0,3.0,0.0,False,Cessna 182Q
1999-07-31,Fatal(10),Destroyed,Beech,65-A90,2.0,Turbo Prop,Skydiving,10.0,,,,VMC,10.0,10.0,1.0,True,Beech 65-A90
1999-09-18,Fatal(5),Destroyed,Cessna,182A,1.0,Reciprocating,Skydiving,5.0,,,,VMC,5.0,5.0,1.0,True,Cessna 182A
1999-09-21,Non-Fatal,Substantial,Cessna,172P,1.0,Reciprocating,Instructional,,,,2.0,IMC,0.0,2.0,0.0,False,Cessna 172P
1999-10-09,Non-Fatal,Substantial,Grumman,G164,1.0,Reciprocating,Aerial Application,,,2.0,,VMC,0.0,2.0,0.0,False,Grumman G164
2000-02-16,Fatal(1),Substantial,Cessna,208B,1.0,Turbo Prop,Unknown,1.0,,,1.0,VMC,1.0,2.0,0.5,False,Cessna 208B
2000-02-16,Fatal(1),Destroyed,Cessna,182M,1.0,Reciprocating,Personal,1.0,,,1.0,VMC,1.0,2.0,0.5,True,Cessna 182M
2000-02-16,Fatal(3),Destroyed,Douglas,DC-8-71F,4.0,Turbo Fan,,3.0,,,,VMC,3.0,3.0,1.0,True,Douglas DC-8-71F
2000-03-05,Non-Fatal,Destroyed,Boeing,737-300,2.0,Turbo Fan,Unknown,,2.0,42.0,98.0,VMC,2.0,142.0,0.014084507042253521,True,Boeing 737-300
2000-04-05,Fatal(3),Destroyed,Learjet,35A,2.0,Turbo Fan,Instructional,3.0,,,,VMC,3.0,3.0,1.0,True,Learjet 35A
2000-11-26,Non-Fatal,,Boeing,767,2.0,,,,2.0,,,,2.0,2.0,1.0,False,Boeing 767
2000-12-27,Non-Fatal,,Boeing,767-300ER,2.0,Turbo Fan,,,1.0,,79.0,VMC,1.0,80.0,0.0125,False,Boeing 767-300ER
2001-01-14,Non-Fatal,Destroyed,Learjet,LJ-60,2.0,Turbo Jet,Executive/Corporate,,2.0,,,VMC,2.0,2.0,1.0,True,Learjet LJ-60
2001-01-24,Fatal(4),Destroyed,Beech,F90-42,2.0,Turbo Prop,Business,4.0,,,,VMC,4.0,4.0,1.0,True,Beech F90-42
2001-02-03,Non-Fatal,Substantial,Boeing,B-737-832,2.0,Turbo Fan,,,,,135.0,VMC,0.0,135.0,0.0,False,Boeing B-737-832
2001-02-03,Non-Fatal,Minor,Douglas,MD-81,2.0,Turbo Fan,,,,,135.0,VMC,0.0,135.0,0.0,False,Douglas MD-81
2001-03-30,Non-Fatal,Substantial,Piper,PA-24,1.0,Reciprocating,Personal,,,2.0,,VMC,0.0,2.0,0.0,False,Piper PA-24
2001-03-31,Non-Fatal,Substantial,De Havilland,DHC-3,1.0,Turbo Prop,Skydiving,,5.0,13.0,4.0,VMC,5.0,22.0,0.22727272727272727,False,De Havilland DHC-3
2001-04-09,Fatal(2),Destroyed,Piper,PA-46-500TP,1.0,Turbo Prop,Personal,2.0,,,,VMC,2.0,2.0,1.0,True,Piper PA-46-500TP
2001-04-18,Fatal(2),Substantial,Cessna,T310R,2.0,Reciprocating,Aerial Application,2.0,,,,VMC,2.0,2.0,1.0,False,Cessna T310R
2001-04-22,Fatal(3),Destroyed,Mooney,M20E,1.0,Reciprocating,Unknown,3.0,0.0,0.0,0.0,,3.0,3.0,1.0,True,Mooney M20E
2001-05-27,Fatal(1),Minor,De Havilland,DHC-6 Twin Otter,2.0,Turbo Prop,Skydiving,1.0,,,22.0,VMC,1.0,23.0,0.043478260869565216,False,De Havilland DHC-6 Twin Otter
2001-07-12,Non-Fatal,Substantial,Taylorcraft,F21B,1.0,Reciprocating,Instructional,,,,2.0,VMC,0.0,2.0,0.0,False,Taylorcraft F21B
2001-08-14,Fatal(2),Substantial,Cessna,150,1.0,Reciprocating,Instructional,2.0,,,,VMC,2.0,2.0,1.0,False,Cessna 150
2001-08-18,Non-Fatal,Substantial,Cessna,182A,1.0,Reciprocating,Skydiving,,,,5.0,VMC,0.0,5.0,0.0,False,Cessna 182A
2001-09-11,Fatal(65),Destroyed,Boeing,767-200ER,2.0,Turbo Fan,,65.0,,,,,65.0,65.0,1.0,True,Boeing 767-200ER
2001-10-06,Non-Fatal,Substantial,Cessna,182A,1.0,Reciprocating,Skydiving,,,1.0,1.0,VMC,0.0,2.0,0.0,False,Cessna 182A
2001-11-12,Fatal(4),Destroyed,Piper,PA-31T1,2.0,Turbo Prop,Executive/Corporate,4.0,,,,IMC,4.0,4.0,1.0,True,Piper PA-31T1
2002-01-10,Non-Fatal,Substantial,Piper,PA-46T,1.0,Turbo Prop,Personal,,,,2.0,IMC,0.0,2.0,0.0,False,Piper PA-46T
2002-01-24,Non-Fatal,,Douglas,DC-9-41,2.0,Turbo Jet,,,1.0,,74.0,VMC,1.0,75.0,0.013333333333333334,False,Douglas DC-9-41
2002-04-03,Non-Fatal,Substantial,Cessna,T310R,2.0,Reciprocating,Personal,,1.0,1.0,,VMC,1.0,2.0,0.5,False,Cessna T310R
2002-04-13,Non-Fatal,Substantial,Cessna,182A,1.0,Reciprocating,Skydiving,,1.0,,4.0,VMC,1.0,5.0,0.2,False,Cessna 182A
2002-05-31,Non-Fatal,Substantial,Ercoupe,ERCO-415-E,1.0,Reciprocating,Personal,,,,2.0,VMC,0.0,2.0,0.0,False,Ercoupe ERCO-415-E
2002-06-16,Non-Fatal,Substantial,Douglas,DC-9-82,2.0,Turbo Fan,,,,,123.0,VMC,0.0,123.0,0.0,False,Douglas DC-9-82
2002-07-09,Non-Fatal,Substantial,Piper,PA-J3-C65,1.0,Reciprocating,Instructional,,,,2.0,VMC,0.0,2.0,0.0,False,Piper PA-J3-C65
2002-07-13,Non-Fatal,Substantial,Cessna,150H,1.0,Reciprocating,Personal,,,,2.0,VMC,0.0,2.0,0.0,False,Cessna 150H
2002-07-20,Non-Fatal,Substantial,Cessna,182A,1.0,Reciprocating,Personal,,,,3.0,VMC,0.0,3.0,0.0,False,Cessna 182A
2002-08-01,Fatal(4),Destroyed,Grumman,AA-5B,1.0,Reciprocating,Personal,4.0,,,,VMC,4.0,4.0,1.0,True,Grumman AA-5B
2002-08-27,Fatal(2),Substantial,Cessna,A185F,1.0,Reciprocating,,2.0,2.0,,,VMC,4.0,4.0,1.0,False,Cessna A185F
2002-09-06,Non-Fatal,,Cessna,120,1.0,Reciprocating,Personal,,1.0,,1.0,VMC,1.0,2.0,0.5,False,Cessna 120
2002-09-21,Non-Fatal,Substantial,Aviat,A-1,1.0,Reciprocating,Personal,,,,2.0,VMC,0.0,2.0,0.0,False,Aviat A-1
2002-09-28,Non-Fatal,Destroyed,Cessna,182,1.0,Reciprocating,Skydiving,,,,5.0,VMC,0.0,5.0,0.0,True,Cessna 182
2002-10-05,Non-Fatal,Substantial,Cessna,182E,1.0,Reciprocating,Personal,,,,2.0,VMC,0.0,2.0,0.0,False,Cessna 182E
2002-10-14,Non-Fatal,Substantial,De Havilland,DHC-8-102,2.0,Turbo Prop,,,,,33.0,VMC,0.0,33.0,0.0,False,De Havilland DHC-8-102
2002-10-29,Non-Fatal,Destroyed,Piper,PA-22,1.0,Reciprocating,Personal,,,,3.0,VMC,0.0,3.0,0.0,True,Piper PA-22
2002-11-17,Non-Fatal,Substantial,Taylorcraft,BC12-D,1.0,Reciprocating,Personal,,,1.0,1.0,VMC,0.0,2.0,0.0,False,Taylorcraft BC12-D
2002-11-17,Fatal(1),,Cessna,152,1.0,Reciprocating,Instructional,1.0,,,1.0,VMC,1.0,2.0,0.5,False,Cessna 152
2003-01-11,Non-Fatal,Substantial,Cessna,150K,1.0,Reciprocating,Instructional,,1.0,1.0,,VMC,1.0,2.0,0.5,False,Cessna 150K
2003-01-24,Non-Fatal,Destroyed,Cessna,208B,1.0,Turbo Prop,Instructional,,2.0,,,VMC,2.0,2.0,1.0,True,Cessna 208B
2003-01-26,Non-Fatal,Substantial,Cessna,182R,1.0,Reciprocating,Instructional,,,,2.0,VMC,0.0,2.0,0.0,False,Cessna 182R
2003-02-13,Non-Fatal,Destroyed,Cessna,208,1.0,Turbo Prop,Public Aircraft - Federal,,,3.0,,VMC,0.0,3.0,0.0,True,Cessna 208
2003-03-03,Non-Fatal,Substantial,Aero Commander,690A,2.0,Turbo Prop,Business,,1.0,,3.0,VMC,1.0,4.0,0.25,False,Aero Commander 690A
2003-03-21,Fatal(2),Destroyed,Cessna,172S,1.0,Reciprocating,Instructional,2.0,,,,VMC,2.0,2.0,1.0,True,Cessna 172S
2003-03-31,Non-Fatal,Substantial,Cessna,190,1.0,Reciprocating,Personal,,,,4.0,VMC,0.0,4.0,0.0,False,Cessna 190
2003-04-01,Incident,Minor,Cessna,182P,1.0,Reciprocating,Personal,,,,3.0,VMC,0.0,3.0,0.0,False,Cessna 182P
2003-04-04,Non-Fatal,Substantial,Boeing,A75N1,1.0,Reciprocating,Air Race/Show,,,,2.0,VMC,0.0,2.0,0.0,False,Boeing A75N1
2003-04-13,Non-Fatal,Substantial,Cessna,152,1.0,Reciprocating,Instructional,,,,2.0,VMC,0.0,2.0,0.0,False,Cessna 152
2003-05-30,Non-Fatal,Substantial,Beech,95-B55,2.0,Reciprocating,Personal,,,,2.0,VMC,0.0,2.0,0.0,False,Beech 95-B55
2003-06-13,Non-Fatal,Substantial,Boeing,A75N1(PT17),1.0,Reciprocating,Personal,,,2.0,,VMC,0.0,2.0,0.0,False,Boeing A75N1(PT17)
2003-06-13,Non-Fatal,Substantial,Piper,PA-46-500TP,1.0,Turbo Prop,Personal,,,,3.0,VMC,0.0,3.0,0.0,False,Piper PA-46-500TP
2003-06-14,Non-Fatal,Substantial,Piper,PA-18,1.0,Reciprocating,Personal,,,,2.0,VMC,0.0,2.0,0.0,False,Piper PA-18
2003-06-17,Fatal(5),Destroyed,Cessna,182Q,1.0,Reciprocating,Personal,5.0,,,,VMC,5.0,5.0,1.0,True,Cessna 182Q
2003-06-17,Fatal(5),Destroyed,Cessna,172N,1.0,Reciprocating,Personal,5.0,,,,VMC,5.0,5.0,1.0,True,Cessna 172N
2003-06-19,Non-Fatal,Substantial,Cessna,177,1.0,Reciprocating,Personal,,,,2.0,VMC,0.0,2.0,0.0,False,Cessna 177
2003-06-21,Non-Fatal,Substantial,Piper,Saratoga II TC PA32-,1.0,Reciprocating,Personal,,,,3.0,VMC,0.0,3.0,0.0,False,Piper Saratoga II TC PA32-
